ClickUp Task ID,Task Name,IntegrationType,Singer Tap,Forked,Original Github Repo,Our Forked Tap,Tap License,"Auth
Scope",Has Account Select,"Auth
Type",Has Incremental Update,"Enable
Merge",Developed By,Need Code Improvement,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forked?
INT-243,Airtable,airtable,tap-airtable,forked,aimementoring/tap-airtable,https://github.com/goes-funky/tap-airtable,"forked from aimementoring/tap-airtable

No license",airtable,0,token,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-107,Amazon advertising API,amazon-advertising,tap-amazon-advertising,forked,dbt-labs/tap-amazon-advertising,https://github.com/goes-funky/tap-amazon-advertising,Apache License 2.0,,1,OAUTH,1,0,Vilson Duka,YES,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-97,Amazon Seller Central,amazon-sp,tap-amazon-sp,from scratch,,,GNU Affero General Public License v3.0,,0,OAUTH,1,0,Mohamed Sadek,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-565,Apple Search Ads,apple-search-ads,tap-apple-search-ads,from scratch,,,,,0,HTTP_LOGIN,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-632,Asana,asana,tap-asana,forked,singer-io/tap-asana,https://github.com/goes-funky/tap-asana,GNU Affero General Public License v3.0,,0,OAUTH,1,0,Egi Gjevori,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-577,Azure Data Storage,,file-transfer-api,from scratch,,,,,#N/A,#N/A,#N/A,#N/A,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-472,Azure SQL,azure-blob-storage,file-transfer-api,from scratch,,,,,0,HTTP_LOGIN,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-60,Bing Ads,bing-ads,tap-bing-ads,forked,singer-io/tap-bing-ads,https://github.com/goes-funky/tap-bing-ads,GNU Affero General Public License v3.0,,1,OAUTH,1,0,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-20,Braintree,braintree,tap-braintree,forked,singer-io/tap-braintree,https://github.com/goes-funky/tap-braintree,GNU Affero General Public License v3.0,,0,token,1,0,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-547,Chargebee,chargebee,tap-chargebee,from scratch,,,,,0,HTTP_LOGIN,1,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-246,Cloud Storage,chargebee,tap-chargebee,from scratch,,,,chargebee,0,HTTP_LOGIN,1,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-259,Criteo,criteo,tap-criteo,from scratch,,,GNU Affero General Public License v3.0,,0,CUSTOM,0,0,Vilson Duka,YES,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-236,CSV,csv,no tap,from scratch,,,,,0,0,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-238,Datos Survey,csv,No Tap,,,,,,0,0,0,0,Hung Dang,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-610,Exchange Rate API,exchange_rate_api,tap-exchange_rates_api,from scratch,,,GNU Affero General Public License v3.0,,0,0,0,0,Egi Gjevori,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-242,Facebook Ads,facebook_ads,tap-facebook-datos,from scratch,,,,,1,OAUTH,1,0,Chris,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-597,Facebook Pages,facebook_pages,tap-facebook_pages,from scratch,,,,,1,OAUTH,1,0,Egi Gjevori,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-222,File Cloud,facebook_pages,tap-facebook_pages,from scratch,,,,facebook/pages,1,OAUTH,1,0,Chris,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-623,FreshDesk,freshdesk,tap-freshdesk,forked,singer-io/tap-freshdesk,https://github.com/goes-funky/tap-freshdesk,GNU Affero General Public License v3.0,,,,,0,Najada Xara,NO,Najada Xara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-840,FreshSales,freshsales,tap-freshsales,forked,Lori-Systems/tap_freshsales,https://github.com/goes-funky/tap-freshsales,GNU Affero General Public License v3.0,,,,,0,Najada Xara,NO,Najada Xara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-241,Google Adwords,getfilecloud.com,tap-adwords,forked,singer-io/tap-adwords,https://github.com/goes-funky/tap-adwords,GNU Affero General Public License v3.0,getfilecloud.com,0,HTTP_LOGIN,0,0,Chris,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-234,Google Analytics,getfilecloud.com,tap-google-analytics,forked,whalyapp/tap-google-analytics,https://github.com/goes-funky/tap-google-analytics,MIT License,getfilecloud.com,0,HTTP_LOGIN,0,0,Chris,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-235,Google Bigquery,getfilecloud.com,No Tap,,,,,getfilecloud.com,0,HTTP_LOGIN,0,0,Talha Akber,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-233,Google Sheets,getfilecloud.com,integrations-google-sheets,from scratch,,,,getfilecloud.com,0,HTTP_LOGIN,0,0,Chris,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-40,Hubspot,hubspot,tap-hubspot,from scratch,,,GNU Affero General Public License v3.0,hubspot/oauth,0,OAUTH,1,0,Mohamed Sadek,NO,Egi Gjevori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instagram,instagram,tap-instagram,From Airbyte,,,MIT License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-7,Klaviyo,klaviyo,tap-klaviyo,forked,singer-io/tap-klaviyo,https://github.com/goes-funky/tap-klaviyo,GNU Affero General Public License v3.0,klaviyo,0,token,1,0,Vilson Duka,YES,Marsel Beqiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-590,Lever,lever,tap-lever,forked,singer-io/tap-lever,https://github.com/goes-funky/tap-lever,GNU Affero General Public License v3.0,lever,0,token,1,1,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-253,LinkedIn Ads,linkedin-ads,tap-linkedin-ads,from scratch,,,,,0,OAUTH,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-89,Mongo DB,mailchimp,tap-mongodb,forked,singer-io/tap-mongodb,https://github.com/goes-funky/tap-mongodb,GNU Affero General Public License v3.0,mailchimp/mails,0,OAUTH,0,0,Vilson Duka,YES,Najada Xara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-458,mySQL,mysql,tap-mysql,forked,singer-io/tap-mysql,https://github.com/goes-funky/tap-mysql,GNU Affero General Public License v3.0,database/mysql,0,MYSQL,1,0,Chris,NO,Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-644,Netsuite,netsuite,tap-netsuite,from scratch,,,GNU Affero General Public License v3.0,netsuite,0,token,1,1,Egi Gjevori,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Office 365 Sharepoint,sharepoint,"no tap, only container (tap_sharepoint_container)",from scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-75,Outbrain,outbrain,tap-outbrain,forked,singer-io/tap-outbrain,https://github.com/goes-funky/tap-outbrain,GNU Affero General Public License v3.0,outbrain/default,0,token,0,0,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-902,Paypal,paypal,tap-paypal,from scratch,,,GNU Affero General Public License v3.0,,,,,0,Marsel Beqiri,NO,Marsel Beqiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-503,Pinterest Ads,pinterest,tap-pinterest,from scratch,,,,pinterest/ads,0,OAUTH,0,0,Vilson Duka,YES,Najada Xara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-702,Pipedrive,pipedrive,tap-pipedrive,forked,https://github.com/singer-io/tap-pipedrive,https://github.com/goes-funky/tap-pipedrive,GNU Affero General Public License v3.0,,0,token,0,0,Oltjona,NO,Oltjona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-244,Postgres,pipedrive,tap-pipedrive,forked,https://github.com/singer-io/tap-pipedrive,https://github.com/goes-funky/tap-pipedrive,GNU Affero General Public License v3.0,pipedrive,0,token,0,0,Chris,NO,Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-130,Recharge,recharge,tap-recharge,forked,singer-io/tap-recharge,https://github.com/goes-funky/tap-recharge,GNU Affero General Public License v3.0,recharge/default,0,token,1,0,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-239,S3,S3,file-transfer-api,from scratch,,,,aws/s3,0,S3,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-481,Salesforce,salesforce,tap-salesforce,forked,singer-io/tap-salesforce,https://github.com/goes-funky/tap-salesforce,GNU Affero General Public License v3.0,,0,0,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-488,SAP,salesforce,tap-salesforce,forked,singer-io/tap-salesforce,https://github.com/goes-funky/tap-salesforce,GNU Affero General Public License v3.0,,0,0,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-240,SFTP,SFTP,file-transfer-api,from scratch,,,,sftp/default,0,SFTP,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-18,Shopify,shopify,tap-shopify,from scratch,,,GNU Affero General Public License v3.0,shopify,0,token,1,1,Mohamed Sadek,NO,Geri Shehu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-125,Snapchat,snapchat,tap-snapchat-ads,from scratch,,,,snapchat/default,0,OAUTH,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-13,Stripe,stripe,tap-stripe,forked,singer-io/tap-stripe,https://github.com/goes-funky/tap-stripe,GNU Affero General Public License v3.0,stripe/connect,0,OAUTH,1,0,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-124,Taboola,taboola,tap-taboola,from scratch,,,,taboola/default,0,OAUTH,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-21,Tiktok,taboola,tap-taboola,from scratch,,,,taboola/default,0,OAUTH,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-529,Twitter Ads,tiktok-ads,tap-tiktok-ads,from scratch,,,,tiktok/ads,0,OAUTH,0,0,Vilson Duka,YES,Najada Xara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-832,Typeform,typeform,tap-typeform,forked,singer-io/tap-typeform,https://github.com/goes-funky/tap-typeform,GNU Affero General Public License v3.0,typeform,0,0,1,0,Oltjona,NO,Oltjona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,xero,xero,tap-xero,forked,singer-io/tap-xero,https://github.com/goes-funky/tap-xero,GNU Affero General Public License v3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-237,XLSX,xlsx,no tap,from scratch,,,,,0,0,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-71,Yahoo gemini,xml,tap-gemini,forked,singer-io/tap-gemini,https://github.com/goes-funky/tap-gemini,GNU Affero General Public License v3.0,,0,0,0,0,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-495,Zendesk,zendesk,tap-zendesk,forked,singer-io/tap-zendesk,https://github.com/goes-funky/tap-zendesk,GNU Affero General Public License v3.0,zendesk/default,0,OAUTH,1,0,Egi Gjevori,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSSQL,mssql,tap-mssql,,https://github.com/singer-io/tap-mssql,,GNU Affero General Public License v3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postgres,postgres,tap-postgres,,https://github.com/singer-io/tap-postgres,https://github.com/goes-funky/tap-postgres,GNU Affero General Public License v3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,